Ganimet	EXP	Kat	Seviye
3.590.543	4.042	25	2510
3.587.680	4.040	25	2505
3.585.387	4.038	25	2501
3.581.370	4.035	25	2494
3.578.496	4.033	25	2489
3.575.043	4.031	25	2483
3.571.585	4.028	25	2477
3.568.122	4.025	25	2471
3.565.810	4.024	25	2467
3.562.918	4.021	25	2462
3.558.862	4.018	25	2455
3.555.961	4.016	25	2450
3.551.312	4.012	25	2442
3.546.654	4.009	25	2434
3.543.154	4.006	25	2428
3.539.065	4.003	25	2421
3.536.725	4.001	25	2417
3.532.038	3.998	25	2409
3.526.166	3.993	25	2399
3.520.868	3.989	25	2390
3.516.149	3.986	25	2382
3.510.237	3.981	25	2372
3.506.090	3.978	25	2365
3.501.935	3.975	25	2358
3.496.583	3.971	25	2349
3.491.814	3.967	25	2341
3.487.037	3.963	25	2333
3.482.848	3.960	25	2326
3.479.251	3.957	25	2320
3.475.048	3.954	25	2313
3.471.440	3.951	25	2307
3.466.620	3.948	25	2299
3.462.998	3.945	25	2293
3.456.949	3.940	25	2283
3.452.098	3.936	25	2275
3.449.669	3.935	25	2271
3.444.194	3.930	25	2262
3.439.927	3.927	25	2255
3.435.652	3.924	25	2248
3.431.368	3.920	25	2241
3.426.463	3.917	25	2233
3.422.163	3.913	25	2226
3.417.854	3.910	25	2219
3.412.920	3.906	25	2211
3.406.737	3.901	25	2201
3.402.399	3.898	25	2194
3.396.187	3.893	25	2184
3.391.206	3.889	25	2176
3.387.462	3.887	25	2170
3.381.836	3.882	25	2161
3.376.195	3.878	25	2152
3.369.911	3.873	25	2142
3.364.871	3.869	25	2134
3.361.083	3.866	25	2128
3.356.656	3.863	25	2121
3.352.221	3.859	25	2114
3.347.776	3.856	25	2107
3.345.232	3.854	25	2103
3.340.774	3.850	25	2096
3.334.389	3.845	25	2086
3.331.190	3.843	25	2081
3.322.851	3.836	25	2068
3.318.347	3.833	25	2061
3.311.897	3.828	25	2051
3.307.371	3.824	25	2044
3.302.836	3.821	25	2037
3.299.591	3.818	25	2032
3.295.039	3.815	25	2025
3.288.521	3.810	25	2015
3.282.638	3.805	25	2006
3.276.739	3.800	25	1997
3.270.166	3.795	25	1987
3.260.930	3.788	25	1973
3.253.645	3.782	25	1962
3.250.326	3.780	25	1957
3.245.005	3.775	25	1949
3.239.003	3.771	25	1940
3.233.653	3.767	25	1932
3.224.260	3.759	25	1918
3.219.548	3.755	25	1911
3.212.122	3.750	25	1900
3.206.027	3.745	25	1891
3.199.235	3.739	25	1881
3.194.467	3.736	25	1874
3.188.322	3.731	25	1865
3.178.039	3.723	25	1850
3.171.157	3.717	25	1840
3.167.016	3.714	25	1834
3.159.405	3.708	25	1823
3.148.284	3.699	25	1807
3.140.604	3.693	25	1796
3.134.299	3.688	25	1787
3.130.085	3.685	25	1781
3.123.749	3.680	25	1772
3.112.436	3.671	25	1756
3.101.061	3.662	25	1740
3.094.635	3.656	25	1731
3.088.189	3.651	25	1722
3.081.003	3.646	25	1712
3.073.792	3.640	25	1702
3.067.280	3.635	25	1693
3.062.200	3.631	25	1686
3.055.651	3.625	25	1677
3.047.618	3.619	25	1666
3.038.819	3.612	25	1654
3.029.981	3.605	25	1642
3.023.327	3.599	25	1633
3.015.164	3.593	25	1622
3.010.698	3.589	25	1616
2.995.737	3.577	25	1596
2.985.953	3.569	25	1583
2.976.878	3.562	25	1571
2.969.284	3.556	25	1561
2.963.951	3.551	25	1554
2.957.073	3.546	25	1545
2.950.938	3.541	25	1537
2.944.785	3.536	25	1529
2.937.839	3.530	25	1520
2.930.869	3.525	25	1511
2.923.873	3.519	25	1502
2.913.724	3.511	25	1489
2.902.735	3.502	25	1475
2.894.847	3.495	25	1465
2.888.514	3.490	25	1457
2.878.177	3.482	25	1444
2.868.585	3.474	25	1432
2.859.751	3.467	25	1421
2.850.875	3.459	25	1410
2.839.519	3.450	25	1396
2.833.815	3.445	25	1389
2.824.817	3.438	25	1378
2.816.599	3.431	25	1368
2.803.375	3.420	25	1352
2.792.562	3.411	25	1339
2.783.363	3.404	25	1328
2.774.960	3.397	25	1318
2.768.210	3.391	25	1310
2.756.339	3.382	25	1296
2.746.102	3.373	25	1284
2.734.085	3.363	25	1270
2.725.454	3.356	25	1260
2.715.911	3.348	25	1249
2.698.431	3.333	25	1229
2.685.209	3.322	25	1214
2.670.996	3.310	25	1198
2.660.262	3.302	25	1186
2.646.753	3.290	25	1171
